code,name,type,hmrc_box,vat_treatment,parent_code,status,qbo_detail_type,xero_tax_type,notes
390,Sundry expenses,expenses,other,Not set,,active,Other Miscellaneous Service Cost,NONE,"ADDED. Name from Desktop's default chart. Deliberately no default rate: a catch-all that carries one is how a wrong rate gets applied confidently. A cluster of transactions here is a missing account, per section 13."
601,Equipment,assets,,20%,,active,Machinery & Equipment,INPUT2,"ADDED. Name from Desktop's default chart. The asset alternative to 271. The rate is set because input tax is recoverable on the purchase even though the account is balance sheet. FLAG: I inferred the 600s as FreeAgent's capital asset range from a sub-account example in its API docs, not from a published range table. Moderate confidence, needs checking."
603,Motor vehicles,assets,,20%,,active,Vehicles,INPUT2,"ADDED. A PHV driver's car. The supply is standard rated but input tax on a car is blocked unless it is used exclusively for business, which a PHV car normally is not. See the blocked-input-tax note: this chart cannot express that, and the rate alone will mislead."
620,Prepayments,assets,,Not set,,active,Prepaid Expenses,NONE,Balance sheet. FLAG: 620 sits outside FreeAgent's 671-720 current asset range and inside its capital asset range. Possible mis-code carried in from the vendor mappings.
681,Trade Debtors,assets,,Not set,,active,Accounts Receivable (A/R),NONE,Balance sheet. 681 is inside FreeAgent's 671-720 current asset range.
731,Bounce Back Loan,liabilities,,Not set,,active,Notes Payable,NONE,Balance sheet. Loan principal is outside the scope; the interest goes to 362.
740,Loans,liabilities,,Not set,,active,Notes Payable,NONE,ADDED. Name from Desktop's default chart. 731 is one specific loan and Desktop's chart has only the generic. Decide whether both survive.
750,Trade creditors,liabilities,,Not set,,active,Accounts Payable (A/P),NONE,ADDED. Code allocated by me inside FreeAgent's 731-780 range.
760,VAT liability,liabilities,,Not set,,active,Other Current Liabilities,NONE,"ADDED. Needed as soon as any client is VAT registered. All five are vat:false today, per section 0.7.6 of the reset plan."
921,Drawings,equity,,Not set,,active,Owner's Equity,NONE,ADDED. Name from Desktop's default chart. 921 is the first code in FreeAgent's 921-960 equity range.
922,Capital introduced,equity,,Not set,,active,Owner's Equity,NONE,ADDED. Name from Desktop's default chart.
